Edad,Poder_Economico,Compra
56,Medio,0
46,Medio,0
32,Alto,0
60,Bajo,0
25,Bajo,1
38,Bajo,0
56,Medio,0
36,Bajo,0
40,Medio,0
28,Medio,1
28,Bajo,0
41,Medio,1
53,Bajo,1
57,Bajo,0
41,Alto,1
20,Bajo,0
39,Bajo,1
19,Medio,0
41,Medio,1
61,Bajo,0
47,Medio,1
55,Bajo,1
19,Bajo,0
38,Medio,1
50,Medio,1
29,Medio,1
39,Medio,1
61,Alto,0
42,Medio,1
44,Bajo,0
59,Medio,1
45,Bajo,0
33,Medio,0
32,Bajo,0
64,Bajo,0
61,Alto,1
20,Alto,1
54,Medio,0
24,Medio,0
38,Bajo,0
26,Bajo,1
56,Bajo,0
35,Medio,0
21,Medio,1
42,Medio,1
31,Bajo,0
26,Alto,1
43,Medio,0
19,Medio,1
37,Medio,0
45,Medio,1
64,Bajo,1
24,Bajo,1
61,Medio,0
25,Bajo,0
64,Bajo,0
52,Bajo,1
31,Bajo,0
34,Alto,1
53,Medio,0
57,Medio,0
21,Bajo,0
19,Medio,0
23,Medio,1
59,Bajo,0
21,Medio,0
46,Bajo,1
35,Medio,0
43,Medio,1
61,Bajo,0
51,Bajo,0
27,Medio,0
53,Medio,1
31,Alto,0
48,Medio,1
65,Bajo,0
32,Bajo,1
25,Medio,0
31,Bajo,0
40,Medio,0
57,Alto,0
38,Medio,0
33,Bajo,1
62,Medio,1
35,Medio,1
64,Medio,0
41,Alto,1
43,Bajo,1
42,Alto,1
62,Alto,0
58,Bajo,0
46,Bajo,0
32,Bajo,1
62,Bajo,0
18,Bajo,1
42,Medio,1
24,Bajo,0
26,Bajo,1
41,Alto,1
18,Bajo,0
61,Alto,0
25,Bajo,0
41,Bajo,0
28,Medio,0
34,Medio,1
25,Alto,1
52,Medio,1
52,Alto,1
50,Bajo,1
22,Bajo,0
59,Medio,0
56,Alto,0
58,Alto,1
45,Medio,1
24,Bajo,0
26,Medio,0
25,Bajo,1
29,Alto,0
51,Alto,1
50,Medio,1
65,Medio,0
40,Medio,0
41,Bajo,0
54,Alto,1
52,Medio,1
61,Alto,1
57,Bajo,0
39,Alto,1
44,Bajo,0
52,Bajo,0
18,Alto,1
52,Bajo,1
54,Bajo,0
64,Alto,0
31,Alto,1
20,Medio,0
18,Medio,0
22,Medio,0
43,Bajo,1
31,Bajo,0
56,Medio,1
44,Medio,1
26,Medio,0
32,Medio,1
32,Bajo,0
43,Medio,1
59,Bajo,0
30,Medio,0
49,Medio,1
56,Alto,1
49,Bajo,0
21,Bajo,0
47,Bajo,1
54,Medio,1
40,Medio,1
56,Bajo,1
62,Bajo,0
32,Medio,1
60,Bajo,0
46,Alto,1
53,Medio,1
30,Bajo,0
49,Bajo,1
24,Alto,1
39,Bajo,1
45,Bajo,0
19,Alto,1
59,Alto,1
62,Alto,1
23,Medio,0
45,Bajo,1
45,Bajo,1
61,Medio,1
61,Medio,0
37,Medio,1
47,Alto,1
28,Bajo,1
45,Medio,1
42,Bajo,1
56,Medio,0
50,Bajo,1
18,Bajo,1
44,Bajo,0
30,Medio,1
58,Medio,0
20,Medio,0
56,Alto,1
23,Bajo,0
25,Bajo,1
44,Alto,1
26,Bajo,0
54,Alto,1
50,Bajo,1
59,Alto,1
61,Bajo,0
41,Alto,1
32,Medio,1
49,Alto,1
49,Bajo,0
41,Medio,1
58,Alto,1
29,Medio,1
56,Medio,1
19,Medio,0
20,Medio,1
54,Medio,1
34,Medio,0
19,Alto,1
19,Bajo,0
45,Bajo,1
40,Alto,1
54,Alto,1
49,Medio,1
50,Medio,0
18,Bajo,0
36,Bajo,0
19,Medio,0
61,Bajo,0
43,Medio,1
49,Bajo,0
23,Alto,1
49,Alto,1
21,Medio,1
28,Medio,1
34,Bajo,1
55,Alto,1
41,Medio,1
22,Bajo,0
51,Alto,1
23,Alto,1
39,Alto,1
28,Medio,1
65,Medio,0
33,Medio,1
50,Alto,1
26,Alto,1
23,Bajo,0
33,Bajo,0
46,Bajo,1
20,Alto,0
37,Alto,1
53,Bajo,1
36,Medio,0
43,Bajo,1
20,Alto,0
36,Alto,1
37,Alto,1
49,Medio,1
24,Medio,1
58,Bajo,0
50,Bajo,0
57,Alto,1
56,Alto,1
35,Alto,0
57,Alto,0
18,Medio,0
28,Medio,1
45,Alto,1
42,Alto,1
40,Bajo,0
48,Medio,1
47,Bajo,1
59,Alto,1
52,Medio,1
24,Bajo,0
33,Medio,0
43,Medio,1
65,Bajo,1
19,Bajo,1
18,Medio,0
65,Medio,0
29,Medio,0
22,Medio,0
54,Alto,1
49,Medio,1
26,Medio,0
58,Alto,1
52,Medio,1
36,Bajo,0
65,Bajo,1
33,Medio,1
20,Medio,0
37,Medio,1
41,Bajo,0
50,Bajo,1
41,Bajo,1
28,Bajo,1
25,Medio,1
53,Bajo,0
55,Medio,1
57,Alto,1
37,Bajo,0
52,Medio,1
65,Medio,0
42,Bajo,0
52,Medio,1
42,Alto,1
46,Alto,1
35,Bajo,0
63,Alto,1
35,Medio,1
19,Bajo,0
52,Medio,1
33,Alto,1
58,Medio,1
53,Bajo,1
50,Medio,1
21,Bajo,0
50,Bajo,0
31,Bajo,0
38,Bajo,1
65,Bajo,0
37,Bajo,0
25,Medio,0
24,Bajo,0
20,Bajo,0
34,Alto,1
50,Medio,1
65,Medio,0
29,Bajo,1
39,Bajo,0
39,Bajo,0
63,Bajo,1
47,Bajo,1
55,Bajo,0
55,Bajo,0
62,Bajo,0
25,Medio,0
44,Bajo,0
44,Bajo,0
51,Medio,1
38,Medio,1
47,Bajo,1
50,Medio,0
45,Medio,0
64,Bajo,1
50,Alto,1
22,Alto,0
65,Bajo,1
36,Bajo,0
21,Alto,0
52,Medio,1
34,Bajo,0
61,Bajo,0
45,Bajo,0
47,Medio,0
46,Medio,0
63,Bajo,0
23,Medio,0
52,Medio,0
58,Bajo,0
54,Bajo,0
41,Medio,1
46,Alto,1
63,Medio,1
48,Medio,1
52,Bajo,1
50,Medio,1
38,Medio,1
49,Bajo,0
40,Bajo,1
50,Bajo,1
20,Bajo,0
35,Bajo,0
42,Bajo,1
59,Bajo,0
48,Bajo,0
20,Alto,1
57,Medio,1
63,Medio,1
41,Medio,0
49,Medio,1
64,Bajo,0
39,Medio,0
40,Medio,0
19,Medio,0
44,Medio,0
59,Bajo,0
19,Bajo,0
43,Bajo,1
34,Medio,1
57,Medio,0
50,Bajo,0
26,Alto,0
60,Medio,0
65,Bajo,0
56,Bajo,0
46,Bajo,0
59,Bajo,0
43,Bajo,1
52,Bajo,1
42,Bajo,1
41,Bajo,1
30,Alto,1
24,Bajo,1
53,Medio,1
62,Medio,0
37,Alto,1
18,Bajo,0
25,Bajo,0
